"Reference","Value","LCSC","Datasheet","Footprint","Qty","DNP","Description"
"D1,D2,D3,D4","1N4148WS_T4","C2128","https://item.szlcsc.com/295156.html","footprint:SOD-323_L1.8-W1.3-LS2.5-RD","4","",""
"D5","4V7","C353517","~","footprint:SOD-323_L1.8-W1.3-LS2.5-RD","1","","Zener diode"
"D6","15V"," C2104","~","footprint:SOD-123_L2.7-W1.6-LS3.7-RD-1","1","","Zener diode"
"D7","4V3","C726993","~","footprint:SOD-123_L2.7-W1.6-LS3.7-RD-1","1","","Zener diode"
"J1","Boiler","C395849","~","TerminalBlock_RND:TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal","1","","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J2","Screw_Terminal_01x04","C557656","~","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x04_P3.50mm_Vertical","1","","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)"
"Q1","BC858","C549539","~","footprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1","","PNP transistor, base/collector/emitter"
"R1","0805,220","C17557","https://datasheet.lcsc.com/lcsc/2110251830_UNI-ROYAL-Uniroyal-Elec-0805W8F2200T5E_C17557.pdf","footprint:0805_2012Metric","1","","1% 1 8W Thick Film Resistors 150V   100ppm    -55    155   220   0805 Chip Resistor - Surface Mount ROHS"
"R2","1206,100","C17901","https://datasheet.lcsc.com/lcsc/2110251930_UNI-ROYAL-Uniroyal-Elec-1206W4F1000T5E_C17901.pdf","footprint:1206_3216Metric","1","","1% 1 4W Thick Film Resistors 200V   100ppm    -55    155   100   1206 Chip Resistor - Surface Mount ROHS"
"R3,R4","0603,330","C23138","https://datasheet.lcsc.com/lcsc/2110252130_UNI-ROYAL-Uniroyal-Elec-0603WAF3300T5E_C23138.pdf","footprint:0603_1608Metric","2","","1% 1 10W Thick Film Resistors 75V   100ppm    -55    155   330   0603 Chip Resistor - Surface Mount ROHS"
"R5","0402,1.5k","C25867","https://datasheet.lcsc.com/lcsc/2110260030_UNI-ROYAL-Uniroyal-Elec-0402WGF1501TCE_C25867.pdf","footprint:0402_1005Metric","1","","1% 1 16W Thick Film Resistors 50V   100ppm    -55    155   1 5k   0402 Chip Resistor - Surface Mount ROHS"
"U1,U2","EL357N(C)(TA)-G","C29981","https://item.szlcsc.com/7114.html","footprint:OPTO-SMD-4_L4.4-W4.1-P2.54-LS7.0-TL","2","",""
