v-sweep;V(/a);V(/b);
0;0;-1.00862e-39;
0.01;0.01;0.005;
0.02;0.02;0.01;
0.03;0.03;0.015;
0.04;0.04;0.02;
0.05;0.05;0.025;
0.06;0.06;0.03;
0.07;0.07;0.035;
0.08;0.08;0.04;
0.09;0.09;0.045;
0.1;0.1;0.05;
0.11;0.11;0.055;
0.12;0.12;0.06;
0.13;0.13;0.065;
0.14;0.14;0.07;
0.15;0.15;0.075;
0.16;0.16;0.08;
0.17;0.17;0.085;
0.18;0.18;0.09;
0.19;0.19;0.095;
0.2;0.2;0.1;
0.21;0.21;0.105;
0.22;0.22;0.11;
0.23;0.23;0.115;
0.24;0.24;0.12;
0.25;0.25;0.125;
0.26;0.26;0.13;
0.27;0.27;0.135;
0.28;0.28;0.14;
0.29;0.29;0.145;
0.3;0.3;0.15;
0.31;0.31;0.155;
0.32;0.32;0.16;
0.33;0.33;0.165;
0.34;0.34;0.17;
0.35;0.35;0.175;
0.36;0.36;0.18;
0.37;0.37;0.185;
0.38;0.38;0.19;
0.39;0.39;0.195;
0.4;0.4;0.2;
0.41;0.41;0.205;
0.42;0.42;0.21;
0.43;0.43;0.215;
0.44;0.44;0.22;
0.45;0.45;0.225;
0.46;0.46;0.23;
0.47;0.47;0.235;
0.48;0.48;0.24;
0.49;0.49;0.245;
0.5;0.5;0.25;
0.51;0.51;0.255;
0.52;0.52;0.26;
0.53;0.53;0.265;
0.54;0.54;0.27;
0.55;0.55;0.275;
0.56;0.56;0.28;
0.57;0.57;0.285;
0.58;0.58;0.29;
0.59;0.59;0.295;
0.6;0.6;0.3;
0.61;0.61;0.305;
0.62;0.62;0.31;
0.63;0.63;0.315;
0.64;0.64;0.32;
0.65;0.65;0.325;
0.66;0.66;0.33;
0.67;0.67;0.335;
0.68;0.68;0.34;
0.69;0.69;0.345;
0.7;0.7;0.35;
0.71;0.71;0.355;
0.72;0.72;0.359999;
0.73;0.73;0.364999;
0.74;0.74;0.369999;
0.75;0.75;0.374999;
0.76;0.76;0.379999;
0.77;0.77;0.384999;
0.78;0.78;0.389998;
0.79;0.79;0.394998;
0.8;0.8;0.399997;
0.81;0.81;0.404997;
0.82;0.82;0.409996;
0.83;0.83;0.414995;
0.84;0.84;0.419994;
0.85;0.85;0.424993;
0.86;0.86;0.429992;
0.87;0.87;0.43499;
0.88;0.88;0.439988;
0.89;0.89;0.444985;
0.9;0.9;0.449982;
0.91;0.91;0.454978;
0.92;0.92;0.459974;
0.93;0.93;0.464968;
0.94;0.94;0.469961;
0.95;0.95;0.474953;
0.96;0.96;0.479943;
0.97;0.97;0.484931;
0.98;0.98;0.489916;
0.99;0.99;0.494898;
1;1;0.499876;
1.01;1.01;0.50485;
1.02;1.02;0.509818;
1.03;1.03;0.51478;
1.04;1.04;0.519733;
1.05;1.05;0.524677;
1.06;1.06;0.52961;
1.07;1.07;0.534528;
1.08;1.08;0.539429;
1.09;1.09;0.544311;
1.1;1.1;0.549168;
1.11;1.11;0.553998;
1.12;1.12;0.558793;
1.13;1.13;0.56355;
1.14;1.14;0.56826;
1.15;1.15;0.572917;
1.16;1.16;0.577512;
1.17;1.17;0.582036;
1.18;1.18;0.58648;
1.19;1.19;0.590835;
1.2;1.2;0.59509;
1.21;1.21;0.599237;
1.22;1.22;0.603265;
1.23;1.23;0.607168;
1.24;1.24;0.610939;
1.25;1.25;0.614573;
1.26;1.26;0.618065;
1.27;1.27;0.621415;
1.28;1.28;0.624622;
1.29;1.29;0.627687;
1.3;1.3;0.630613;
1.31;1.31;0.633404;
1.32;1.32;0.636065;
1.33;1.33;0.6386;
1.34;1.34;0.641015;
1.35;1.35;0.643317;
1.36;1.36;0.645512;
1.37;1.37;0.647605;
1.38;1.38;0.649602;
1.39;1.39;0.65151;
1.4;1.4;0.653333;
1.41;1.41;0.655078;
1.42;1.42;0.656748;
1.43;1.43;0.658348;
1.44;1.44;0.659884;
1.45;1.45;0.661358;
1.46;1.46;0.662775;
1.47;1.47;0.664138;
1.48;1.48;0.66545;
1.49;1.49;0.666714;
1.5;1.5;0.667934;
1.51;1.51;0.669112;
1.52;1.52;0.670249;
1.53;1.53;0.671349;
1.54;1.54;0.672414;
1.55;1.55;0.673445;
1.56;1.56;0.674445;
1.57;1.57;0.675414;
1.58;1.58;0.676355;
1.59;1.59;0.677268;
1.6;1.6;0.678156;
1.61;1.61;0.67902;
1.62;1.62;0.67986;
1.63;1.63;0.680678;
1.64;1.64;0.681475;
1.65;1.65;0.682252;
1.66;1.66;0.683009;
1.67;1.67;0.683748;
1.68;1.68;0.68447;
