Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4",SOD-323_L1.8-W1.3-LS2.5-RD,4,1N4148WS_T4,C2128
D5,SOD-323_L1.8-W1.3-LS2.5-RD,1,4V7,C353517
D6,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,15V, C2104
D7,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,4V3,C726993
J1,TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal,1,Boiler,C395849
J2,TerminalBlock_4Ucon_1x04_P3.50mm_Vertical,1,Screw_Terminal_01x04,C557656
Q1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,BC858,C549539
R1,0805_2012Metric,1,"0805,220",C17557
"R2, R3",0603_1608Metric,2,"0603,330",C23138
R4,0402_1005Metric,1,"0402,1.5k",C25867
R6,1206_3216Metric,1,"1206,100",C17901
"U1, U2",OPTO-SMD-4_L4.4-W4.1-P2.54-LS7.0-TL,2,EL357N(C)(TA)-G,C29981
