time;I(D5);P(D5);
0;-1.67442e-10;4.08958e-10;
2e-08;-4.4429e-09;1.08513e-08;
4e-08;-8.75398e-09;2.13808e-08;
8e-08;-1.72959e-08;4.22443e-08;
1.6e-07;-3.39007e-08;8.28062e-08;
3.2e-07;-6.53568e-08;1.59683e-07;
6.4e-07;-1.22319e-07;2.99158e-07;
1.28e-06;-2.18199e-07;5.35705e-07;
2.56e-06;-3.61666e-07;9.06981e-07;
4.56e-06;-5.04536e-07;1.32091e-06;
6.56e-06;-5.82432e-07;1.60698e-06;
8.56e-06;-6.18297e-07;1.80432e-06;
1.056e-05;-6.1688e-07;1.90344e-06;
1.256e-05;-5.83684e-07;1.89805e-06;
1.456e-05;-5.34892e-07;1.82394e-06;
1.656e-05;-4.93745e-07;1.75674e-06;
1.856e-05;-4.63611e-07;1.71449e-06;
2.056e-05;-4.43405e-07;1.69955e-06;
2.256e-05;-4.27991e-07;1.69672e-06;
2.456e-05;-4.17052e-07;1.70725e-06;
2.656e-05;-4.07304e-07;1.71937e-06;
2.856e-05;-4.03648e-07;1.75508e-06;
3.056e-05;-7.93149e-07;3.54851e-06;
3.256e-05;-3.7177e-05;0.000170893;
3.456e-05;-0.000653378;0.00305507;
3.656e-05;-0.00130457;0.00612571;
3.856e-05;-0.0017479;0.00822249;
4.056e-05;-0.00233279;0.0109892;
4.256e-05;-0.00281895;0.0133021;
4.456e-05;-0.0033879;0.0160034;
4.656e-05;-0.0038932;0.0184118;
4.856e-05;-0.00445522;0.0210873;
5e-05;-0.00482114;0.0228349;
5.02e-05;-0.00484222;0.0229355;
5.06e-05;-0.00485313;0.0229876;
5.14e-05;-0.00484721;0.0229593;
5.3e-05;-0.00485172;0.0229809;
5.5e-05;-0.00484787;0.0229625;
5.7e-05;-0.00485122;0.0229785;
5.9e-05;-0.0048483;0.0229646;
6.1e-05;-0.00485084;0.0229767;
6.3e-05;-0.00484863;0.0229661;
6.5e-05;-0.00485056;0.0229753;
6.7e-05;-0.00484888;0.0229673;
6.9e-05;-0.00485034;0.0229743;
7.1e-05;-0.00484907;0.0229682;
7.3e-05;-0.00485017;0.0229735;
7.5e-05;-0.00484921;0.0229689;
7.7e-05;-0.00485005;0.0229729;
7.9e-05;-0.00484932;0.0229694;
8.1e-05;-0.00484995;0.0229724;
8.3e-05;-0.0048494;0.0229698;
8.5e-05;-0.00484988;0.0229721;
8.7e-05;-0.00484947;0.0229701;
8.9e-05;-0.00484983;0.0229718;
9.1e-05;-0.00484951;0.0229703;
9.3e-05;-0.00484979;0.0229716;
9.5e-05;-0.00484955;0.0229705;
9.7e-05;-0.00484976;0.0229715;
9.9e-05;-0.00484957;0.0229706;
0.000101;-0.00484973;0.0229714;
0.000103;-0.0048496;0.0229707;
0.000105;-0.00484972;0.0229713;
0.000107;-0.00484961;0.0229708;
0.000109;-0.0048497;0.0229712;
0.000111;-0.00484962;0.0229709;
0.000113;-0.00484969;0.0229712;
0.000115;-0.00484963;0.0229709;
0.000117;-0.00484968;0.0229712;
0.000119;-0.00484964;0.0229709;
0.000121;-0.00484968;0.0229711;
0.000123;-0.00484964;0.022971;
