time;I(R1);I(R2);I(R3);I(R4);
0;0.00697955;0.00697651;-0.00199057;-1.12025e-11;
1e-08;0.00698174;0.00697652;-0.00199061;-1.12114e-11;
2e-08;0.00698439;0.00697655;-0.00199065;-1.12114e-11;
4e-08;0.00698986;0.00697665;-0.00199072;-1.12114e-11;
8e-08;0.00700087;0.00697706;-0.00199087;-1.12114e-11;
1.6e-07;0.00702284;0.00697871;-0.00199116;-1.12114e-11;
3.2e-07;0.00706684;0.00698508;-0.00199174;-1.12114e-11;
6.4e-07;0.00715479;0.00700867;-0.00199289;-1.12114e-11;
1.28e-06;0.00733082;0.00708957;-0.00199516;-1.12114e-11;
2.28e-06;0.00760595;0.00727589;-0.00199863;-1.12114e-11;
3.28e-06;0.00788124;0.00750414;-0.00200201;-1.12114e-11;
4.28e-06;0.0081566;0.00775056;-0.00200529;-1.12114e-11;
5.28e-06;0.00843209;0.00800038;-0.00200849;-1.12114e-11;
6.28e-06;0.00870764;0.00824146;-0.00201161;-1.12114e-11;
7.28e-06;0.00898331;0.00846194;-0.00201464;-1.12114e-11;
8.28e-06;0.00925903;0.00865238;-0.0020176;-1.12114e-11;
9.28e-06;0.00953485;0.00881007;-0.00202048;-1.12114e-11;
1.028e-05;0.00981068;0.00893976;-0.00202328;-1.12114e-11;
1.128e-05;0.0100866;0.00904922;-0.00202603;-1.12114e-11;
1.228e-05;0.0103625;0.00914491;-0.00202871;-1.12114e-11;
1.328e-05;0.0106385;0.00923098;-0.00203134;-1.12114e-11;
1.428e-05;0.0109145;0.00930996;-0.00203391;-1.12114e-11;
1.528e-05;0.0111906;0.00938344;-0.00203644;-1.12114e-11;
1.628e-05;0.0114667;0.00945251;-0.00203891;-1.12114e-11;
1.728e-05;0.0117429;0.00951804;-0.00204134;-1.12114e-11;
1.828e-05;0.012019;0.00958064;-0.00204373;-1.12114e-11;
1.928e-05;0.0122952;0.00964077;-0.00204607;-1.12114e-11;
2.028e-05;0.0125715;0.00969878;-0.00204838;-1.12114e-11;
2.128e-05;0.0128477;0.00975498;-0.00205064;-1.12114e-11;
2.228e-05;0.013124;0.00980959;-0.00205288;-1.12114e-11;
2.328e-05;0.0134004;0.00986282;-0.00205507;-1.12114e-11;
2.428e-05;0.0136767;0.00991481;-0.00205724;-1.12114e-11;
2.528e-05;0.0139531;0.00996571;-0.00205937;-1.12114e-11;
2.628e-05;0.0142294;0.0100156;-0.00206147;-1.12114e-11;
2.728e-05;0.0145058;0.0100647;-0.00206354;-1.12114e-11;
2.828e-05;0.0147819;0.0101128;-0.00206558;-1.12114e-11;
2.928e-05;0.0150549;0.0101599;-0.0020676;-1.12114e-11;
3.028e-05;0.0153049;0.0102036;-0.00206958;-1.12114e-11;
3.128e-05;0.0154801;0.0102368;-0.00207151;-1.12114e-11;
3.228e-05;0.0155816;0.0102565;-0.0020734;-1.12114e-11;
3.328e-05;0.0156458;0.0102682;-0.00207525;-1.12114e-11;
3.428e-05;0.0156914;0.0102764;-0.00207707;-1.12114e-11;
3.528e-05;0.0157265;0.0102826;-0.00207887;-1.12114e-11;
3.628e-05;0.015755;0.0102875;-0.00208064;-1.12114e-11;
3.728e-05;0.015779;0.0102916;-0.00208239;-1.12114e-11;
3.828e-05;0.0157998;0.0102951;-0.00208412;-1.12114e-11;
3.928e-05;0.0158182;0.0102982;-0.00208582;-1.12114e-11;
4.028e-05;0.0158346;0.010301;-0.00208751;-1.12114e-11;
4.128e-05;0.0158496;0.0103035;-0.00208918;-1.12114e-11;
4.228e-05;0.0158633;0.0103058;-0.00209083;-1.12114e-11;
4.328e-05;0.015876;0.0103079;-0.00209247;-1.12114e-11;
4.428e-05;0.0158878;0.0103099;-0.00209409;-1.12114e-11;
4.528e-05;0.0158989;0.0103117;-0.00209568;-1.12114e-11;
4.628e-05;0.0159093;0.0103134;-0.00209727;-1.12114e-11;
4.728e-05;0.0159192;0.0103151;-0.00209884;-1.12114e-11;
4.828e-05;0.0159286;0.0103166;-0.00210039;-1.12114e-11;
4.928e-05;0.0159376;0.0103181;-0.00210193;-1.12114e-11;
5e-05;0.0159438;0.0103191;-0.00210303;-1.12114e-11;
5.01e-05;0.0159437;0.0103192;-0.00210302;-1.12114e-11;
5.03e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.07e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.15e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.25e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.35e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.45e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.55e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.65e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.75e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.85e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
5.95e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.05e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.15e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.25e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.35e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.45e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.55e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.65e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.75e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.85e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
6.95e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.05e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.15e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.25e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.35e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.45e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.55e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.65e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.75e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.85e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
7.95e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.05e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.15e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.25e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.35e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.45e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.55e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.65e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.75e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.85e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
8.95e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.05e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.15e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.25e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.35e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.45e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.55e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.65e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.75e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.85e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
9.95e-05;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001005;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001015;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001025;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001035;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001045;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001055;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001065;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001075;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001085;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001095;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001105;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001115;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001125;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001135;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001145;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001155;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001165;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001175;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001185;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001195;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001205;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001215;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
0.0001225;0.0159436;0.0103194;-0.00210302;-1.12114e-11;
