Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,1u,
"C2, C6, C7",0603,3,0.1u,
"C3, C5, C8",0402,3,10u,
C9,0805,1,22u,
"D1, D6",0603,2,XL-1608UGC-04,
"D10, D7, D8, D9",D_SOD-323,4,1N4148WS,
D11,D_SOD-323,1,BZT52C4V7S,
D12,D_SOD-123,1,BZT52C15V,
D13,D_SOD-123,1,BZT52C4V3,
"D14, D15, D16, D17, D18",D_SOD-882,5,LESD8D3.3CAT5G-ES,
"D2, D3, D4",D_SOD-523,3,BSD5C051L,
D5,D_SOD-123,1,1N5819HW-7-F,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB-C port,
J2,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Boiler,
Q1,SOT-23,1,MMBT2907A,
"R1, R3",0603,2,10k,
R10,0805,1,1k5,
"R11, R9",0805,2,330,
"R12, R4, R5",0603,3,4k7,
"R2, R6",0603,2,5k1,
R7,0805,1,180,
R8,0805,1,100,
SW_1,SW_SPST_TL3342,1,EN,
SW_2,SW_SPST_TL3342,1,BOOT,
SW_3,SW_SPST_TL3342,1,HOME,
SW_4,SW_SPST_TL3342,1,UP,
SW_5,SW_SPST_TL3342,1,DOWN,
SW_6,SW_SPST_TL3342,1,CONFIRM,
SW_7,SW_SPST_TL3342,1,BACK,
TP1,TestPoint_Keystone_5015_Micro-Minature,1,5V,C5199798
TP2,TestPoint_Keystone_5015_Micro-Minature,1,3V3,C5199798
TP3,TestPoint_Keystone_5015_Micro-Minature,1,GND1,C5199798
TP4,TestPoint_Keystone_5015_Micro-Minature,1,GND,C5199798
TP5,TestPoint_Keystone_5015_Micro-Minature,1,opnthm,C5199798
TP6,TestPoint_Keystone_5015_Micro-Minature,1,B1,C5199798
TP7,TestPoint_Keystone_5015_Micro-Minature,1,B2,C5199798
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8R2,
U2,TO-252-2,1,UZ1086L-33-TN3-R,
"U3, U4",SO-4_4.4x3.6mm_P2.54mm,2,EL357N-G,
