time;I(D7);P(D7);
0;-1.12025e-11;4.27474e-11;
2e-08;-1.12472e-11;4.2918e-11;
4e-08;-1.12472e-11;4.2918e-11;
8e-08;-1.12472e-11;4.2918e-11;
1.6e-07;-1.12472e-11;4.2918e-11;
3.2e-07;-1.12472e-11;4.2918e-11;
6.4e-07;-1.12472e-11;4.2918e-11;
1.28e-06;-1.12472e-11;4.2918e-11;
2.56e-06;-1.12472e-11;4.2918e-11;
4.56e-06;-1.12472e-11;4.2918e-11;
6.56e-06;-1.12472e-11;4.2918e-11;
8.56e-06;-1.12472e-11;4.2918e-11;
1.056e-05;-1.12472e-11;4.2918e-11;
1.256e-05;-1.12472e-11;4.2918e-11;
1.456e-05;-1.12472e-11;4.2918e-11;
1.656e-05;-1.12472e-11;4.2918e-11;
1.856e-05;-1.12472e-11;4.2918e-11;
2.056e-05;-1.12472e-11;4.2918e-11;
2.256e-05;-1.12472e-11;4.2918e-11;
2.456e-05;-1.12472e-11;4.2918e-11;
2.656e-05;-1.12472e-11;4.2918e-11;
2.856e-05;-1.12472e-11;4.2918e-11;
3.056e-05;-1.12472e-11;4.2918e-11;
3.256e-05;-1.12472e-11;4.2918e-11;
3.456e-05;-1.12472e-11;4.2918e-11;
3.656e-05;-1.12472e-11;4.2918e-11;
3.856e-05;-1.12472e-11;4.2918e-11;
4.056e-05;-1.12472e-11;4.2918e-11;
4.256e-05;-1.12472e-11;4.2918e-11;
4.456e-05;-1.12472e-11;4.2918e-11;
4.656e-05;-1.12472e-11;4.2918e-11;
4.856e-05;-1.12472e-11;4.2918e-11;
5e-05;-1.12472e-11;4.2918e-11;
5.02e-05;-1.12472e-11;4.2918e-11;
5.06e-05;-1.12472e-11;4.2918e-11;
5.14e-05;-1.12472e-11;4.2918e-11;
5.3e-05;-1.12472e-11;4.2918e-11;
5.5e-05;-1.12472e-11;4.2918e-11;
5.7e-05;-1.12472e-11;4.2918e-11;
5.9e-05;-1.12472e-11;4.2918e-11;
6.1e-05;-1.12472e-11;4.2918e-11;
6.3e-05;-1.12472e-11;4.2918e-11;
6.5e-05;-1.12472e-11;4.2918e-11;
6.7e-05;-1.12472e-11;4.2918e-11;
6.9e-05;-1.12472e-11;4.2918e-11;
7.1e-05;-1.12472e-11;4.2918e-11;
7.3e-05;-1.12472e-11;4.2918e-11;
7.5e-05;-1.12472e-11;4.2918e-11;
7.7e-05;-1.12472e-11;4.2918e-11;
7.9e-05;-1.12472e-11;4.2918e-11;
8.1e-05;-1.12472e-11;4.2918e-11;
8.3e-05;-1.12472e-11;4.2918e-11;
8.5e-05;-1.12472e-11;4.2918e-11;
8.7e-05;-1.12472e-11;4.2918e-11;
8.9e-05;-1.12472e-11;4.2918e-11;
9.1e-05;-1.12472e-11;4.2918e-11;
9.3e-05;-1.12472e-11;4.2918e-11;
9.5e-05;-1.12472e-11;4.2918e-11;
9.7e-05;-1.12472e-11;4.2918e-11;
9.9e-05;-1.12472e-11;4.2918e-11;
0.000101;-1.12472e-11;4.2918e-11;
0.000103;-1.12472e-11;4.2918e-11;
0.000105;-1.12472e-11;4.2918e-11;
0.000107;-1.12472e-11;4.2918e-11;
0.000109;-1.12472e-11;4.2918e-11;
0.000111;-1.12472e-11;4.2918e-11;
0.000113;-1.12472e-11;4.2918e-11;
0.000115;-1.12472e-11;4.2918e-11;
0.000117;-1.12472e-11;4.2918e-11;
0.000119;-1.12472e-11;4.2918e-11;
0.000121;-1.12472e-11;4.2918e-11;
0.000123;-1.12472e-11;4.2918e-11;
0.000125;-1.12472e-11;4.2918e-11;
0.0001252;-1.01545e-11;3.87066e-11;
0.0001256;-7.23608e-12;2.74678e-11;
0.0001264;-3.94096e-12;1.46778e-11;
0.000127;-7.38733e-12;2.80501e-11;
0.00012716;-1.96308e-10;7.65602e-10;
0.00012748;-1.10106e-06;4.54057e-06;
0.000127925;-0.0250741;0.109908;
0.000128497;-0.0204927;0.0897199;
0.000128838;-5.04423e-05;0.000213005;
0.00012917;-4.77415e-06;1.98689e-05;
0.000129434;-0.000412031;0.00176228;
0.000129686;-0.00187055;0.00807366;
0.00013006;-0.00144883;0.00624388;
0.000130705;-0.0029263;0.0126644;
0.000131543;-0.00161318;0.00695662;
0.000132857;-0.0028489;0.0123274;
0.000134857;-0.00166748;0.00719223;
0.000136857;-0.00280484;0.0121363;
0.000138857;-0.00171268;0.00738838;
0.000140857;-0.00276358;0.0119563;
0.000142857;-0.00175173;0.00755782;
