time;I(D4);I(D5);I(D6);I(D7);
0;0.009;-2.45239e-12;-0.00202045;-1.12026e-11;
1e-08;0.00900279;-2.45315e-12;-0.00202051;-1.12116e-11;
2e-08;0.00900559;-2.45315e-12;-0.00202058;-1.12116e-11;
4e-08;0.00901119;-2.45493e-12;-0.00202071;-1.12116e-11;
8e-08;0.00902239;-2.4567e-12;-0.00202093;-1.12116e-11;
1.6e-07;0.0090448;-2.46025e-12;-0.00202133;-1.12116e-11;
3.2e-07;0.0090896;-2.46914e-12;-0.00202212;-1.12116e-11;
6.4e-07;0.0091792;-2.49401e-12;-0.0020237;-1.12116e-11;
1.28e-06;0.0093584;-2.54019e-12;-0.00202682;-1.12116e-11;
2.28e-06;0.0096384;-2.6219e-12;-0.00203162;-1.12116e-11;
3.28e-06;0.0099184;-2.7125e-12;-0.00203633;-1.12116e-11;
4.28e-06;0.0101984;-2.80487e-12;-0.00204095;-1.12116e-11;
5.28e-06;0.0104784;-2.89724e-12;-0.00204549;-1.12116e-11;
6.28e-06;0.0107584;-2.98961e-12;-0.00204995;-1.12116e-11;
7.28e-06;0.0110384;-3.07665e-12;-0.00205434;-1.12116e-11;
8.28e-06;0.0113184;-3.16014e-12;-0.00205865;-1.12116e-11;
9.28e-06;0.0115984;-3.2383e-12;-0.00206289;-1.12116e-11;
1.028e-05;0.0118784;-3.31291e-12;-0.00206707;-1.12116e-11;
1.128e-05;0.0121584;-3.38574e-12;-0.0020712;-1.12116e-11;
1.228e-05;0.0124384;-3.45501e-12;-0.00207527;-1.12116e-11;
1.328e-05;0.0127184;-3.52252e-12;-0.0020793;-1.12116e-11;
1.428e-05;0.0129984;-3.58824e-12;-0.00208328;-1.12116e-11;
1.528e-05;0.0132784;-3.65574e-12;-0.00208722;-1.12116e-11;
1.628e-05;0.0135584;-3.72147e-12;-0.00209113;-1.12116e-11;
1.728e-05;0.0138384;-3.78719e-12;-0.00209499;-1.12116e-11;
1.828e-05;0.0141184;-3.85114e-12;-0.00209883;-1.12116e-11;
1.928e-05;0.0143984;-3.91509e-12;-0.00210263;-1.12116e-11;
2.028e-05;0.0146784;-3.98082e-12;-0.0021064;-1.12116e-11;
2.128e-05;0.0149584;-4.04476e-12;-0.00211014;-1.12116e-11;
2.228e-05;0.0152384;-4.16733e-12;-0.00211385;-1.12116e-11;
2.328e-05;0.0155184;-5.00222e-12;-0.00211754;-1.12116e-11;
2.428e-05;0.0157984;-1.38805e-11;-0.0021212;-1.12116e-11;
2.528e-05;0.0160784;-1.14222e-10;-0.00212485;-1.12116e-11;
2.628e-05;0.0163584;-1.24881e-09;-0.00212847;-1.12116e-11;
2.728e-05;0.0166384;-1.40206e-08;-0.00213207;-1.12116e-11;
2.828e-05;0.0169184;-1.56982e-07;-0.00213565;-1.12116e-11;
2.928e-05;0.0171984;-1.72986e-06;-0.00213921;-1.12116e-11;
3.028e-05;0.0174784;-1.69383e-05;-0.00214274;-1.12116e-11;
3.128e-05;0.0177584;-9.62031e-05;-0.00214617;-1.12116e-11;
3.228e-05;0.0180384;-0.000260627;-0.00214955;-1.12116e-11;
3.328e-05;0.0183184;-0.000470226;-0.00215291;-1.12116e-11;
3.428e-05;0.0185984;-0.000701359;-0.00215624;-1.12116e-11;
3.528e-05;0.0188784;-0.000944089;-0.00215956;-1.12116e-11;
3.628e-05;0.0191584;-0.00119393;-0.00216285;-1.12116e-11;
3.728e-05;0.0194384;-0.0014485;-0.00216614;-1.12116e-11;
3.828e-05;0.0197184;-0.00170644;-0.0021694;-1.12116e-11;
3.928e-05;0.0199984;-0.00196689;-0.00217266;-1.12116e-11;
4.028e-05;0.0202784;-0.00222928;-0.0021759;-1.12116e-11;
4.128e-05;0.0205584;-0.0024932;-0.00217912;-1.12116e-11;
4.228e-05;0.0208384;-0.00275837;-0.00218233;-1.12116e-11;
4.328e-05;0.0211184;-0.00302458;-0.00218554;-1.12116e-11;
4.428e-05;0.0213984;-0.00329166;-0.00218873;-1.12116e-11;
4.528e-05;0.0216784;-0.00355949;-0.00219191;-1.12116e-11;
4.628e-05;0.0219584;-0.00382796;-0.00219508;-1.12116e-11;
4.728e-05;0.0222384;-0.00409698;-0.00219824;-1.12116e-11;
